SURVEY_INFO,esdate,towncode,ward,respid,BACKGROUND,gender,age,hhsize,educ,religion,leavemonr2w,leavemonr2wwhere,returnmonr2w,returnmonr2wwhere,EBOLA_AWARENESS,ehowget,esignsymptom,eincubation,ehotline,spreadair,spreadfluids,spreadearly,saltcure,HEALTH,notreatmentj26,under5,childsick,childsickcare,childsicknocareebola,childsickcarewhereelse,hhmemsick,hhmemsickcare,hhmemsicknocareebola,hhmemsickcarewhere,EBOLA_VIGILANCE,egroupa,egroupct,emtgs,emtgswho,corganizedae,csafeburial,bucket,handsanitizer,shakehands,secretburials,hidecases,breakcurfew,havefun,ECONOMIC_FOOD_IMPACTS,nocashjuly,income7d,income7dunit,income7dnormal,income7dnormalunit,occupation,losejob,workless,famlosejob,famworkless,nofoodjuly,nofoodworry7d,skipmeals,limitmealsize,borrowfood,badfood,childmeals,childmealsnormal,bedhungry2w,CONCLUSION,willshare,angry,distractions
,"12/6/2014 10:32:09",2001,"Z100-New KruTown",2001191,,"1-Male",19,6,"0-None","1-Christian","","","","",,"2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;3-Diarrhea;9-Rash;10-Red eyes",21,"0-No","N","Y","Y","N",,"2-Several times",0,"","","","","Y","Y","","1-Clinic",,"1-Yes","1-Yes",0,"","1-Agree","1-Agree","1-Yes","1-Yes","1-Yes","0-No","0-No",7,4,,"3-Many times",3000,"1-LD",5000,"1-LD","3-Sales and services","Y","Y","N","Y","2-Several times","Y",0,7,0,5,1,2,0,,"Y","N","0-None"
,"12/6/2014 10:40:20",2001,"Z100-New KruTown",2001131,,"2-Female",60,10,"0-None","1-Christian","0-No","","0-No","",,"2-Eating fruit bitten by bats;5-Touching dead bodies;6-Contact with infected surfac","4-Headache;7-Weakness;9-Rash;10-Red eyes",21,"0-No","Y","Y","N","Y",,"3-Many times",3,"Y","N","","6-Family or self","N","","","",,"1-Yes","0-No",0,"88-Other","1-Agree","97-Do not know","1-Yes","0-No","0-No","0-No","0-No",0,0,,"2-Several times",1000,"1-LD",1500,"1-LD","6-Domestic services","N","Y","N","Y","3-Many times","Y",5,3,4,5,2,2,3,,"Y","N","0-None"
,"12/6/2014 12:04:17",2001,"Z100-New KruTown",2001132,,"2-Female",21,6,"0-None","2-Muslim","","","","",,"97-Dont know","1-Vomiting;12-Bleeding",21,"0-No","Y","Y","N","Y",,"",,"","","","","","","","",,"1-Yes","0-No",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"1-Just once or twice",500,"1-LD",800,"1-LD","6-Domestic services","N","Y","N","Y","2-Several times","Y",4,2,1,2,2,2,0,,"Y","N","2-Child present"
,"12/6/2014 13:28:19",2001,"Z100-New KruTown",2001114,,"2-Female",70,15,"2-Completed ABC","1-Christian","","","","",,"97-Dont know","97-Does not know",0,"0-No","N","N","Y","N",,"3-Many times",4,"N","","","","N","","","",,"1-Yes","0-No",3,"1-Community leaders;4-NGOs","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,7,,"0-Never",1400,"1-LD",7000,"1-LD","5-Unskilled manual","N","Y","N","N","0-Never","N",0,0,2,0,2,3,0,,"Y","Y","2-Child present;88-Other"
,"12/6/2014 10:34:37",2001,"Z100-New KruTown",2001161,,"2-Female",33,10,"2-Completed ABC","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;10-Red eyes",24,"0-No","N","Y","N","N",,"0-Never",2,"N","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","97-Do not know","1-Yes","0-No","0-No","0-No","0-No",0,0,,"1-Just once or twice",1600,"1-LD",2500,"1-LD","3-Sales and services","N","N","N","N","1-Just once or twice","N",0,1,0,1,2,3,0,,"Y","N","0-None"
,"12/6/2014 13:54:21",2001,"Z100-New KruTown",2001194,,"2-Female",22,10,"6-Completed high school","1-Christian","1-Yes","4-Grand Bassa","1-Yes","4-Grand Bassa",,"1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat",3,"1-Yes","N","Y","N","N",,"2-Several times",0,"","","","","Y","Y","","1-Clinic",,"0-No","0-No",0,"","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"3-Many times",0,"88-N/A",35,"2-USD","3-Sales and services","Y","Y","Y","N","2-Several times","Y",8,7,0,7,1,3,7,,"Y","N","0-None"
,"12/6/2014 14:23:25",2001,"Z100-New KruTown",2001134,,"1-Male",36,3,"7-Some university","1-Christian","","","","",,"3-Bodily fluids of infected pe;6-Contact with infected surfac","9-Rash;10-Red eyes;13-Fatigue",3,"1-Yes","N","Y","Y","N",,"0-Never",0,"","","","","N","","","",,"0-No","0-No",3,"3-Community members;6-Community group;88-Other","0-Disagree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,2,,"2-Several times",1500,"1-LD",2000,"1-LD","88-Other","Y","Y","Y","Y","2-Several times","Y",1,2,0,1,2,2,1,,"Y","N","0-None"
,"12/6/2014 10:12:09",2001,"Z100-New KruTown",2001151,,"2-Female",33,8,"7-Some university","2-Muslim","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi","1-Vomiting;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness;9-Rash",21,"1-Yes","N","Y","Y","N",,"3-Many times",4,"Y","Y","","","N","","","",,"0-No","0-No",2,"1-Community leaders","0-Disagree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"4-Always",1500,"1-LD",6000,"1-LD","1-Professional","Y","Y","Y","Y","4-Always","Y",7,7,3,4,1,3,1,,"Y","N","0-None"
,"1/9/2015 12:18:29",2001,"Z100-New KruTown",2001115,,"2-Female",37,4,"3-Some junior high","1-Christian","1-Yes","8-Lofa","0-No","",,"3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;12-Bleeding;18-Cough",21,"1-Yes","N","Y","N","N",,"2-Several times",2,"Y","Y","","","N","","","",,"1-Yes","0-No",3,"1-Community leaders;2-Religious leaders;3-Community members;4-NGOs","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,2,,"3-Many times",200,"1-LD",1000,"1-LD","4-Skilled manual","Y","Y","Y","Y","3-Many times","Y",4,3,3,3,1,2,2,,"Y","Y","2-Child present;3-Spouse present;4-Friend present"
,"12/6/2014 11:19:42",2001,"Z100-New KruTown",2001112,,"2-Female",20,6,"5-Some high school","1-Christian","","","","",,"3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies","1-Vomiting;2-Fever;3-Diarrhea;7-Weakness;10-Red eyes;18-Cough",0,"0-No","Y","Y","Y","Y",,"2-Several times",2,"N","","","","Y","N","","",,"1-Yes","1-Yes",0,"","97-Do not know","97-Do not know","1-Yes","0-No","0-No","0-No","1-Yes",0,0,,"2-Several times",0,"1-LD",2000,"1-LD","5-Unskilled manual","Y","Y","N","Y","2-Several times","Y",2,3,5,3,1,2,0,,"Y","Y","2-Child present"
